name,player_id,team_id,season_id,player_id,season_id,Pos,Class,height,weight,wingspan,vertical,IS,OS,Rng,Fin,Reb,IDef,PDef,IQ,Pass,Hnd,Drv,Str,Spd,Sta,SI,POT,Stars,Primary_Position,adj_OEPM,adj_DEPM,adj_EPM,adj_OEPM_scaled,adj_DEPM_scaled,adj_EPM_scaled
Manny Lockwood,196891,186,2044,196891,2044,PG SF sg pf ,SR,75.5,210,79.25,33.5,5,15,17,16,7,12,15,9,18,13,9,13,12,15,176,12,3,PG,1.00932364979214,3.08133752609926,4.0906611758914,1.7748870252035,4.12390276224223,5.89878978744572
Chris Fortune,202604,101,2046,202604,2046,SG SF pg ,RS SR,77.0,200,81.0,34.5,16,17,16,18,12,7,8,13,15,15,19,14,10,14,194,14,5,SG,4.1337911966345,-0.89060784277396,3.24318335386054,6.98337442578971,-1.08728956171944,5.89608486407028
Herb Sellers,201461,230,2044,201461,2044,PF C ,RS SO,82.0,235,84.0,31.5,15,11,7,12,12,16,6,19,7,9,13,12,13,3,155,12,3,PF,2.07761981909141,1.72186606173791,3.79948588082932,3.55573673942538,2.34027620100013,5.89601294042551
Floyd Jordan,208316,974,2046,208316,2046,PG sg sf ,SR,73.5,175,74.0,28.5,8,10,12,9,8,5,17,14,17,11,17,11,13,6,158,11,3,PG,1.34452760113325,2.65315070277458,3.99767830390783,2.33367201208912,3.56212165004025,5.89579366212937
Taye Shepherd,202199,903,2045,202199,2045,PG SG ,SR,69.5,175,73.25,34.0,5,9,6,15,11,7,12,15,15,11,11,8,16,14,155,11,3,PG,1.90843777713467,1.93642399450561,3.84486177164028,3.2737102754835,2.62177620879136,5.89548648427486
Rickey Gilliam,197225,847,2044,197225,2044,PF sf ,RS JR,77.0,185,80.25,32.0,7,11,9,11,12,11,4,7,8,6,12,12,11,13,134,12,2,PF,0.607762564950143,3.58874169879583,4.19650426374598,1.10548469677189,4.78961703682013,5.89510173359202
Irvin Parker,203496,397,2046,203496,2046,SG pg sf ,RS SR,71.5,150,73.0,26.5,11,19,19,13,8,7,19,9,9,10,13,9,15,17,178,12,3,SG,2.78508454584005,0.821343074081787,3.60642761992183,4.73508043891536,1.1587900411953,5.89387048011066
Floyd Guillory,209729,197,2046,209729,2046,SF pf c ,RS JR,78.5,210,85.25,26.0,16,14,14,15,12,13,10,11,12,7,14,9,12,9,168,12,4,SF,2.03231495646002,1.77617389828465,3.80848885474467,3.48021353341886,2.41152808254946,5.89174161596832
Arnie Savage,197715,100,2044,197715,2044,PG sg ,SR,76.0,205,82.25,33.0,7,12,12,16,6,7,13,11,18,11,14,9,13,16,165,12,3,PG,0.358943678531537,3.90059803591119,4.25954171444273,0.690703613112072,5.19877255111549,5.88947616422756
Lee Corbin,197793,408,2044,197793,2044,SF SG ,SR,75.0,170,81.25,32.5,10,9,9,12,8,13,14,14,8,8,16,8,17,12,158,11,3,SF,2.56922170245303,1.08892037754056,3.65814207999358,4.37523707898919,1.50985146333321,5.8850885423224
George Humphries,201569,547,2044,201569,2044,PF pg sf c ,JR,78.0,220,82.25,26.5,16,12,10,11,13,6,11,8,9,6,14,13,16,12,157,11,3,PF,2.22489871981188,1.52547151761194,3.75037023742381,3.8012506669264,2.08260655910686,5.88385722603326
Ed Fitzpatrick,212380,205,2046,212380,2046,SG PG sf ,JR,69.5,175,74.0,31.0,9,11,13,15,5,5,11,18,8,16,7,6,14,13,151,11,3,SG,2.23072236250831,1.51503367127249,3.74575603378079,3.81095867930135,2.0689121047095,5.87987078401085
Alden Beam,207195,134,2045,207195,2045,PG SF pf ,RS SO,77.0,225,80.0,30.0,5,15,8,10,11,13,16,12,16,13,11,12,9,10,161,11,2,PG,3.19407104341085,0.290539468951406,3.48461051236226,5.41686093036589,0.462375711264244,5.87923664163014
Charlie Miles,205031,622,2045,205031,2045,PG SF sg ,SR,72.0,195,72.0,29.5,6,13,19,11,6,5,13,9,16,7,7,12,15,10,149,10,2,PG,1.34421487502554,2.64060371540386,3.98481859042941,2.33315069766758,3.54566000260987,5.87881070027745
Joe England,199669,40,2044,199669,2044,PG PF sf ,SR,79.5,205,82.0,24.5,14,14,9,12,11,6,17,10,17,12,9,14,17,15,177,13,4,PG,0.6683573276736,3.4992542403461,4.1676115680197,1.20649616623189,4.67220949133408,5.87870565756597
Deshawn Deaton,207961,491,2046,207961,2046,C pf ,SR,81.0,210,87.25,28.0,17,8,8,8,18,16,5,6,7,9,8,18,5,9,142,11,2,C,2.11710984914238,1.65815793231655,3.77526778145893,3.62156661952036,2.25669113519931,5.87825775471967
Roscoe Cornwell,198875,817,2045,198875,2045,SG pg sf ,RS SR,74.5,210,75.0,25.5,7,16,14,11,8,9,10,12,19,6,9,15,17,8,161,11,3,SG,2.79358712057365,0.793873405756069,3.58746052632972,4.74925423099628,1.12274983635196,5.87200406734824
Cedric Thomas,198759,849,2044,198759,2044,PF C ,SR,78.5,225,86.0,26.5,9,10,8,7,9,13,9,12,6,10,10,11,5,12,131,9,1,PF,1.46896744363864,2.4760450979483,3.94501254158694,2.54111322954561,3.32975909650817,5.87087232605379
Frank Sapp,202884,470,2045,202884,2045,C ,RS JR,83.0,270,86.0,26.0,13,8,9,13,17,17,5,9,13,8,5,9,7,12,145,11,2,C,0.570116715573151,3.61766716729758,4.18778388287073,1.04272906586044,4.82756725149442,5.87029631735487
George Mills,213186,987,2045,213186,2045,SF PG ,RS SR,77.0,190,80.25,29.5,8,10,13,17,8,10,7,14,14,17,13,9,13,13,166,12,2,PG,2.4083144141764,1.2820345471628,3.6903489613392,4.10700462943205,1.76321725387759,5.87022188330965
Matt Ferri,200072,276,2045,200072,2045,PG SG ,RS SR,71.5,190,72.0,28.5,7,5,10,10,9,4,15,17,9,16,12,5,15,14,148,11,3,PG,1.51387060066469,2.41560539307765,3.92947599374235,2.61596679230804,3.25046220371788,5.86642899602592
Cory Gardner,205427,107,2045,205427,2045,SG ,RS JR,77.5,230,82.0,38.0,2,9,12,8,5,4,7,12,10,10,10,7,17,11,124,11,2,SG,1.86088142875185,1.97450129597508,3.83538272472693,3.19443384272934,2.6717336283193,5.86616747104864
Eddie Patton,220703,312,2046,220703,2046,C ,FR,78.5,220,80.25,41.0,8,10,5,7,8,4,5,11,7,5,6,7,2,7,92,11,2,C,3.08876249258873,0.410713620535696,3.49947611312442,5.24131157614541,0.620044198142834,5.86135577428824
Lucius Arrington,212503,86,2045,212503,2045,PG SG ,SO,73.5,200,79.25,42.0,8,14,16,9,5,7,8,18,14,10,8,11,14,15,157,12,3,PG,2.20387705901708,1.52537264626584,3.72924970528292,3.76620755838147,2.08247683990078,5.84868439828225
Ben Bunch,197661,867,2045,197661,2045,C PF ,RS SR,82.5,205,88.0,29.5,7,17,13,11,13,13,5,18,9,11,8,19,6,9,159,11,3,C,1.91058550455299,1.89169126336445,3.80227676791744,3.27729053708983,2.56308686553416,5.84037740262399
Tevin Benton,205733,701,2046,205733,2046,PG sg ,RS JR,73.0,195,79.0,29.5,5,11,11,8,6,9,10,10,7,8,8,10,8,12,123,9,1,PG,0.906961807140997,3.16632155820463,4.07328336534563,1.60424983350404,4.23540181236448,5.83965164586852
Larry Kilpatrick,205103,213,2046,205103,2046,C pf ,RS SR,81.5,250,85.25,30.5,10,10,12,13,13,17,12,8,11,11,7,16,7,13,160,12,3,C,1.18396126234802,2.81228679597209,3.99624805832011,2.06600792533415,3.77090820431538,5.83691612964953
Gerald Matson,202084,472,2046,202084,2046,PG sg ,RS SR,72.5,200,77.25,32.5,7,18,13,8,8,5,9,17,15,15,15,6,13,7,156,11,3,PG,2.94036746721222,0.580196777079184,3.52056424429141,4.99393706884277,0.842406099527889,5.83634316837066
Ismael Guzman,213543,339,2045,213543,2045,PG sf ,SO,76.0,220,77.25,28.5,7,14,5,7,7,10,16,15,15,12,13,12,15,13,161,12,5,PG,0.351212884779955,3.86794198976477,4.21915487454472,0.677816379928186,5.15592781857138,5.83374419849956
Tony Mitchell,206281,146,2046,206281,2046,SF sg pf c ,RS JR,79.5,215,81.0,28.5,5,11,15,8,17,10,11,19,11,10,14,6,13,8,158,12,3,SF,2.09902110199151,1.64679620568173,3.74581730767324,3.59141267801985,2.24178454985443,5.83319722787428
Kendrick Monroe,201247,447,2044,201247,2044,C SG pf ,JR,81.0,230,84.0,30.5,8,8,7,8,9,6,5,8,7,6,8,9,14,4,107,12,2,C,2.02189522016951,1.74476814568278,3.76666336585229,3.46284383302257,2.37032373513581,5.83316756815838
Leonardo Maldonado,201422,928,2044,201422,2044,PF sf ,JR,78.5,200,82.25,32.5,13,8,11,8,13,8,7,14,9,9,7,9,12,13,141,11,2,PF,2.08907810249489,1.65922352404024,3.74830162653513,3.57483769785899,2.2580891915408,5.83292688939978
Cory Parodi,208828,779,2046,208828,2046,PG SG sf pf ,RS JR,76.0,210,76.0,33.5,10,19,10,18,7,11,19,7,14,19,14,10,12,13,183,13,3,PG,1.14995036783215,2.8516996018723,4.00164996970444,2.00931176417619,3.82261780565645,5.83192956983264
Donovon Patterson,211019,619,2046,211019,2046,SG pg ,JR,72.0,170,75.0,29.0,4,14,16,9,6,9,13,13,8,8,7,9,14,8,138,11,2,SG,2.23865808502259,1.46817231501838,3.70683040004097,3.82418752873265,2.00743000530412,5.83161753403677
Ty Crawford,214872,925,2046,214872,2046,C pf ,SO,79.5,215,84.0,32.0,15,10,10,7,8,8,8,7,3,4,8,12,3,15,118,11,2,C,3.32273628018845,0.0878066901155741,3.41054297030402,5.63134588007415,0.196390305431633,5.82773618550578
Cory Wilhelm,207611,585,2046,207611,2046,C ,SR,84.0,235,88.0,36.0,11,6,15,6,8,8,5,12,7,9,6,14,11,10,128,10,1,C,3.12688683085669,0.334630236370869,3.46151706722756,5.30486484803811,0.52022279811858,5.82508764615669
Robin Zanetti,204443,335,2044,204443,2044,PF C ,JR,78.5,220,84.0,28.0,10,6,9,9,12,12,4,13,10,5,10,7,13,13,133,11,2,PF,0.7853003659516,3.30865099501312,4.09395136096472,1.40144021104132,4.42213803345721,5.82357824449853
Dirk Wood,197006,377,2044,197006,2044,SF ,SR,77.5,205,77.0,30.0,12,17,8,12,6,13,13,16,9,5,4,16,7,12,150,11,2,SF,1.75075151589797,2.08184113098057,3.83259264687854,3.01084727800191,2.81256349184651,5.82341076984842
Don Blackburn,197697,199,2044,197697,2044,PG sg ,RS JR,72.0,165,78.0,27.5,8,13,17,16,6,9,6,7,20,9,10,11,18,11,161,12,3,PG,1.64490243591875,2.21473163554761,3.85963407146636,2.83439686167655,2.98691583383847,5.82131269551502
Neil Sullivan,196909,402,2045,196909,2045,PG sf ,RS SR,75.5,180,80.0,26.0,7,16,8,5,8,12,9,14,18,12,7,15,14,16,161,11,3,PG,1.54272359881863,2.34350314479431,3.88622674361294,2.66406474023066,3.15586405397013,5.81992879420079
Dax Hale,196394,866,2044,196394,2044,SG sf ,RS SR,74.0,190,80.25,32.0,6,14,8,12,10,7,15,7,11,15,8,13,19,15,160,11,2,SG,2.48708576709359,1.14304426140856,3.63013002850215,4.23831647474501,1.58086199896803,5.81917847371304
Oscar O`Conner,208257,350,2046,208257,2046,C PF ,RS JR,81.0,265,83.0,25.5,16,11,15,10,13,16,12,7,6,9,7,13,7,8,150,11,3,C,1.69138446796288,2.15363451433051,3.84501898229339,2.91188240909413,2.90675641080162,5.81863881989575
Jarvis Nelson,203377,373,2046,203377,2046,PG sg sf pf ,RS SR,77.0,205,77.0,37.0,14,8,9,16,5,8,12,15,16,13,7,4,14,8,149,11,2,PG,1.84322949060426,1.95995196996219,3.80318146056645,3.1650080618373,2.65264491259039,5.81765297442769
Darryl Phillips,208422,43,2044,208422,2044,SF PG ,SO,77.0,205,80.25,30.5,5,17,12,9,10,6,11,11,13,12,14,15,15,13,163,12,4,SF,1.50640031602055,2.385144299869,3.89154461588955,2.60351382780625,3.21049724942813,5.81401107723438
Reggie Sewell,200888,850,2045,200888,2045,SF SG ,RS SR,72.5,190,76.0,28.0,7,17,11,11,12,10,18,14,7,11,9,17,13,14,171,11,3,SF,1.73589846179264,2.09353947758976,3.8294379393824,2.98608723680833,2.82791172259777,5.8139989594061
Jacob Palmieri,194744,932,2044,194744,2044,PF c ,RS SR,77.5,225,84.25,28.5,15,12,8,5,9,15,16,12,13,11,10,13,8,12,159,11,3,PF,1.41051831168569,2.5063763562277,3.91689466791339,2.44367852658005,3.36955370737074,5.81323223395079
Mauricio Trinidad,206832,981,2046,206832,2046,PG SG sf ,SR,74.0,200,79.0,39.0,4,7,11,15,5,7,6,15,14,12,8,10,17,10,141,10,1,PG,1.53115004075383,2.35206117825338,3.88321121900722,2.64477161893664,3.16709219386844,5.81186381280508
Blake Shipp,204859,407,2045,204859,2045,C PF ,SR,79.5,205,82.0,35.5,8,12,8,5,7,11,6,10,12,6,4,15,11,12,127,9,1,C,0.510753524695922,3.64853643604408,4.15928996074,0.943770626668102,4.86806773208983,5.81183835875793
Lemond Street,199649,369,2044,199649,2044,SG sf ,RS JR,75.0,190,79.0,30.5,9,15,14,11,7,6,15,12,7,8,11,13,18,15,161,12,3,SG,2.30197034308586,1.37151426173224,3.6734846048181,3.92972906292414,1.8806146393927,5.81034370231684
Kraig Sullivan ,205059,155,2046,205059,2046,C PF ,RS SR,79.5,225,79.25,30.5,16,13,9,4,17,16,7,17,10,4,12,9,10,5,149,10,2,C,0.165582847623779,4.08585008324569,4.25143293086947,0.36837110798884,5.44182323721834,5.81019434520718
Daquan Cunningham,202630,866,2045,202630,2045,PF C ,RS JR,81.5,240,86.0,30.0,13,8,10,10,7,17,11,15,12,12,6,9,5,8,143,11,2,PF,2.4531511204125,1.17768620464984,3.63083732506235,4.18174741872764,1.6263122285006,5.80805964722824
Marc Pearson,201976,633,2046,201976,2046,C ,RS SR,84.0,255,88.25,28.5,19,10,10,7,14,6,4,18,9,4,13,15,6,8,143,10,2,C,2.83717482146998,0.689590907504482,3.52676572897446,4.82191492839046,0.985931198645881,5.80784612703634
Freddie Fu,203710,726,2045,203710,2045,PG ,SR,73.5,175,78.25,29.0,4,15,9,6,3,10,15,17,18,10,14,12,14,8,155,11,2,PG,1.33472814509923,2.59776209704251,3.93249024214174,2.31733631888042,3.48945179931977,5.80678811820019
Nathan Rayford,208854,82,2046,208854,2046,PF C sg sf ,RS JR,82.5,265,88.0,30.5,15,14,8,12,10,6,14,17,11,11,8,15,14,14,169,12,3,PF,2.3358676558012,1.32438055596573,3.66024821176693,3.9862358832206,1.81877521742704,5.80501110064764
Karl Esposito,201484,474,2045,201484,2045,SG ,SR,77.0,195,84.0,30.0,5,8,13,12,9,6,10,14,6,14,8,6,13,10,134,10,1,SG,2.14159879888327,1.56955520674976,3.71115400563303,3.66238969873841,2.14044435925568,5.80283405799409
Clyde Poggi,198669,141,2044,198669,2044,C pf ,RS JR,80.5,215,88.0,30.0,6,8,14,10,13,16,12,10,7,4,8,8,10,7,133,9,2,C,0.0806963183130933,4.18800533265847,4.26870165097156,0.226865263627927,5.57585092444791,5.80271618807583
Dana Herrington,211819,709,2044,211819,2044,C pf ,FR,86.0,235,90.25,31.0,10,3,7,6,10,6,4,10,8,3,7,3,9,5,91,8,1,C,1.54343450237155,2.32831754330367,3.87175204567521,2.66524981645337,3.13594054481441,5.80119036126778
Neil Spangler,205864,129,2046,205864,2046,PF sg ,RS JR,78.0,195,84.0,41.5,12,10,7,12,12,15,11,12,12,9,15,8,7,13,155,11,3,PF,0.242962937216353,3.97873953601621,4.22170247323256,0.49736371733966,5.30129419925327,5.79865791659293
Philip De Santis,208598,938,2046,208598,2046,PG ,SR,71.5,170,75.25,29.5,12,11,10,13,10,8,18,18,16,18,13,7,10,9,173,12,4,PG,1.78612937554164,2.01703077117474,3.80316014671639,3.06982217002792,2.72753229978126,5.79735446980918
Stu Ragsdale,215648,600,2045,215648,2045,SG PG sf ,FR,73.5,175,76.0,26.5,4,6,7,11,5,5,10,17,9,12,5,4,16,11,122,11,3,SG,2.44302602494188,1.18101744685068,3.62404347179256,4.16486888457811,1.63068281826809,5.7955517028462
Justin Castellano,204557,636,2046,204557,2046,SF SG ,RS SR,77.0,215,85.0,30.0,8,18,12,12,9,11,11,14,12,18,16,5,15,9,170,12,3,SF,2.02568075858261,1.70666366994596,3.73234442852857,3.46915432555721,2.3203306629691,5.78948498852631
Shane Ware,197389,190,2045,197389,2045,SF SG pg pf ,RS SR,77.0,190,79.25,30.0,12,9,11,12,9,9,12,12,8,15,15,9,17,13,163,11,3,SF,1.38333865825004,2.52180618788353,3.90514484613357,2.39837004430281,3.3897976465032,5.78816769080601
Lenny Rose,207157,161,2046,207157,2046,SF pg ,RS JR,77.5,205,81.0,30.0,6,12,6,15,4,10,5,14,17,8,9,12,16,16,150,11,3,SF,0.248467027113856,3.96367716278588,4.21214418989974,0.506539035198797,5.28153236557508,5.78807140077387
Benny Sumner,211945,903,2046,211945,2046,C PF ,JR,80.5,205,86.0,34.5,8,16,16,5,14,13,10,10,5,9,13,12,5,11,147,11,3,C,0.932186807680627,3.09452226839152,4.02670907607214,1.64629990940361,4.14120114412967,5.78750105353327
Jackson Rossi,203701,159,2046,203701,2046,PF ,RS SR,79.5,235,82.0,33.0,17,12,6,7,10,9,13,7,13,11,13,12,8,16,154,11,2,PF,1.74005062254367,2.06728134500808,3.80733196755175,2.9930088887803,2.7934610526506,5.7864699414309
Maurice Egan,203886,44,2045,203886,2045,SF SG pg pf ,SR,73.5,230,75.0,32.5,12,16,10,12,5,11,12,10,13,9,13,15,16,17,171,11,3,SF,0.697466045406884,3.39095371973963,4.08841976514652,1.25502039869328,4.5301192082984,5.78513960699167
Alfonso Lerma,208017,55,2046,208017,2046,SF SG pf c ,SR,78.0,230,84.0,33.0,16,15,8,15,9,6,16,11,13,9,12,12,9,15,166,12,4,SF,1.69347103861365,2.12303596561156,3.8165070042252,2.91536072236895,2.86661111488236,5.78197183725131
Sean Bowers,198295,784,2044,198295,2044,C PF ,RS JR,79.5,210,83.0,35.0,8,12,15,5,15,15,5,13,8,8,12,13,13,12,154,12,3,C,2.42824646734329,1.18927343245928,3.61751989980257,4.14023136206127,1.64151467138657,5.78174603344784
Rex Glass,209687,212,2046,209687,2046,SF SG pf ,SR,77.0,205,80.0,33.0,4,11,15,16,7,14,12,7,8,8,13,10,17,16,158,12,3,SF,0.684317478817436,3.40471813432732,4.08903561314475,1.23310173818867,4.54817812023744,5.78127985842611
Bret Roark,200583,929,2044,200583,2044,PG PF sg sf ,RS JR,78.5,225,84.0,33.0,10,12,15,7,5,5,8,10,17,15,6,10,16,18,154,11,2,PG,2.29650711758729,1.35543480973961,3.6519419273269,3.92062186601801,1.85951839837837,5.78014026439638
Aaron Humphreys,202981,383,2044,202981,2044,PG sg sf ,JR,77.5,210,80.25,30.0,6,11,11,10,11,10,8,9,15,13,5,9,16,9,143,10,2,PG,0.514363041733113,3.61901548550192,4.13337852723504,0.949787691569099,4.82933624497852,5.77912393654762
Rodney Fuller,216169,71,2046,216169,2046,PF C sf ,SO,78.5,200,80.0,29.0,14,13,15,7,10,11,10,14,8,8,6,10,14,11,151,11,3,PF,0.769768218027457,3.29432901320543,4.06409723123289,1.37554812045177,4.40334759332552,5.7788957137773
Bryan Barry,196082,706,2044,196082,2044,PF ,RS SR,78.0,210,80.0,28.5,9,14,9,15,10,15,7,4,13,7,12,15,12,8,150,10,2,PF,1.39577277152981,2.49782668258131,3.89359945411112,2.41909771114019,3.35833653554668,5.77743424668688
Lloyd Kaufman,196917,514,2044,196917,2044,PF ,SR,79.0,195,84.25,30.5,12,7,12,6,6,11,14,8,5,16,8,7,13,10,135,10,1,PF,1.79782613011736,1.98511236293727,3.78293849305463,3.08932065990563,2.6856553481737,5.77497600807933
Hunter Dickson,209163,27,2046,209163,2046,C PF ,SR,80.5,235,81.0,36.0,16,10,16,8,9,14,12,17,13,8,10,12,12,7,164,12,3,C,2.3102100468881,1.33398521563747,3.64419526252558,3.94346464916247,1.83137653091636,5.77484118007883
Bill Curran,201334,392,2044,201334,2044,SG pg sf ,JR,72.0,185,73.0,33.5,9,10,6,15,5,4,11,18,8,7,13,9,14,12,141,10,2,SG,2.12480625254643,1.56903198733038,3.69383823987681,3.6343965239949,2.13975789537745,5.77415441937236
Tory Durham,211571,537,2045,211571,2045,SG ,SO,74.5,185,79.0,29.0,4,6,7,16,4,5,11,6,7,11,13,4,14,9,117,9,1,SG,2.35027645739768,1.28248468510421,3.63276114250189,4.01025535548193,1.76380783485672,5.77406319033865
Christian Tapia,216855,725,2046,216855,2046,PF sg sf c ,SO,78.5,210,85.25,31.0,7,4,11,10,8,12,8,12,7,7,8,12,12,13,131,11,2,PF,1.409273548581,2.47783208207718,3.88710563065817,2.44160350648453,3.33210361968525,5.77370712616978
Corentin Richard,225354,656,2046,225354,2046,PF SF ,RS SO,78.0,210,86.0,34.0,6,12,13,10,9,9,8,13,6,6,8,6,6,8,120,12,2,PF,3.04166737186525,0.401523035508307,3.44319040737356,5.16280400989938,0.607986150586898,5.77079016048628
Roberts Kļaviņš,225530,975,2046,225530,2046,SF SG ,JR,76.5,200,81.25,24.0,7,10,5,8,9,7,9,9,8,10,8,7,14,9,120,12,2,SF,2.23254006942328,1.42749181932345,3.66003188874673,3.81398879672861,1.95405719495236,5.76804599168097
Sigge Gustafsson,225946,587,2045,225946,2045,PF c ,SO,78.5,225,85.0,28.0,7,13,5,10,8,5,4,15,9,7,6,13,12,9,123,11,2,PF,1.81779849186593,1.95399019240628,3.77178868427221,3.12261458694051,2.64482306043703,5.76743764737754
Jody Chisholm,201406,200,2044,201406,2044,SF pf ,RS SO,78.5,210,80.25,31.5,9,11,12,12,11,10,9,11,13,7,8,11,14,10,148,12,3,SF,2.769323120157,0.74244024914313,3.51176336930013,4.70880614230172,1.05526953487579,5.7640756771775
Landon Thompson,218586,904,2045,218586,2045,SF PF C ,FR,77.0,190,79.0,31.0,9,10,11,10,8,11,8,7,6,9,9,9,9,7,123,11,3,SF,4.53512289805417,-1.50142558297912,3.03369731507505,7.6523943720563,-1.8886824368686,5.7637119351877
Charley Hay,202101,783,2045,202101,2045,SG sf pf c ,SR,77.5,190,82.0,28.5,13,14,7,14,13,7,10,15,7,15,14,14,17,6,166,11,3,SG,2.39622246832962,1.21542290138236,3.61164536971198,4.08684735570547,1.67582277461366,5.76267013031913
Ken Schwartz,206411,927,2046,206411,2046,PF PG SF ,SR,80.0,225,87.0,30.0,19,14,11,14,13,10,17,8,15,14,15,7,13,12,182,13,5,PF,3.24661989282907,0.134105024671486,3.38072491750055,5.50445986234606,0.257133720368989,5.76159358271505
Marc Crider,214176,191,2046,214176,2046,SF SG c ,JR,76.0,205,79.0,33.0,14,16,13,9,10,13,13,13,9,7,15,4,13,15,164,12,4,SF,2.56493023405006,0.995168948730107,3.56009918278017,4.36808320116146,1.3868495887339,5.75493278989536
Buddy Barlow,206806,313,2046,206806,2046,C PF ,SR,83.0,255,85.25,37.0,11,9,10,1,11,7,4,9,5,3,4,3,1,8,86,7,0,C,1.68071951162668,2.11815519611344,3.79887470774012,2.89410392688167,2.86020754530083,5.7543114721825
Charles Hughes,215769,975,2046,215769,2046,C pf ,SO,80.0,240,88.0,30.0,7,7,6,4,12,12,3,11,9,11,7,7,7,7,110,10,1,C,2.93254006942328,0.527491819323448,3.46003188874673,4.98088879672861,0.773257194952364,5.75414599168097
Stacey Griffin,195776,932,2044,195776,2044,SF sg pf ,RS SR,75.0,215,80.0,32.5,13,13,12,11,6,7,8,12,6,10,8,13,12,17,148,10,2,SF,1.61051831168569,2.2063763562277,3.81689466791339,2.77707852658005,2.97595370737074,5.75303223395079
Bill Carter,208464,434,2044,208464,2044,PF sf c ,SO,79.0,185,85.25,28.0,7,10,8,7,8,10,6,6,5,8,8,7,13,8,111,11,2,PF,0.587841821926002,3.50456766061022,4.09240948253622,1.07227681815065,4.67918069872061,5.75145751687125
Therman Roby,200475,541,2044,200475,2044,PG sg ,RS JR,73.5,205,80.0,35.0,11,7,15,5,8,7,10,13,17,17,8,6,19,12,155,11,2,PG,1.76645510827124,2.00577016944711,3.77222527771834,3.03702516648815,2.7127583903146,5.74978355680276
Douglas Crum +9,208273,37,2046,208273,2046,SG ,RS JR,74.5,190,77.0,43.0,13,11,14,14,8,8,15,7,9,17,7,10,18,8,159,11,3,SG,2.7589058758062,0.744531507609742,3.50343738341594,4.69144059596894,1.05801326598398,5.74945386195292
Amani Estes,201928,215,2046,201928,2046,C pg pf ,RS SR,77.5,225,85.0,31.0,10,18,16,17,10,14,7,11,16,18,6,12,9,11,175,12,4,C,1.83080634490478,1.92354443821723,3.75435078312201,3.14429867795627,2.604878230941,5.74917690889727
Blaž Korošec,216362,807,2044,216362,2044,PF ,JR,79.0,240,87.0,27.0,7,12,5,9,10,4,4,16,8,8,7,13,5,9,117,12,2,PF,1.57677197175997,2.24090860616562,3.81768057792559,2.72082337792388,3.02126001928929,5.74208339721317
Bobbie Waters ,205401,599,2046,205401,2046,PG ,RS SR,75.0,180,76.25,32.0,7,18,9,9,11,10,18,15,15,15,10,5,15,10,167,12,5,PG,0.405247518143291,3.72854770836123,4.13379522650452,0.767892113744866,4.97304252136993,5.74093463511479
Geoffrey Curran,199150,154,2045,199150,2045,SF sg ,RS SR,77.0,205,83.0,34.5,7,10,14,17,10,10,9,13,13,5,15,9,10,7,149,11,2,SF,0.862014696386164,3.14540322911243,4.00741792549859,1.52932299987574,4.2079569645955,5.73727996447124
Marcus James,204244,432,2045,204244,2045,SF SG ,SR,75.0,205,79.25,26.5,9,16,7,14,10,11,12,16,6,8,14,14,16,16,169,12,3,SF,3.1291701205499,0.264596513078516,3.39376663362842,5.30867109195669,0.428338553159013,5.73700964511571
Paxton Frank,209271,607,2044,209271,2044,PF c ,SO,78.0,210,80.25,30.0,7,4,5,6,10,7,6,17,8,6,6,3,5,6,96,12,2,PF,2.00892719916233,1.68482841902213,3.69375561818446,3.4412261420036,2.29168281375704,5.73290895576064
Calvin Potter,198529,809,2045,198529,2045,PF C ,RS SR,78.5,215,80.25,33.5,15,8,12,14,14,12,10,17,8,5,5,9,4,17,150,11,2,PF,2.74455891673021,0.749817781126138,3.49437669785635,4.66752421518927,1.06494885683749,5.73247307202676
Patrick Crosby,209943,783,2044,209943,2044,PF c ,RS FR,80.5,220,83.0,27.0,12,6,10,12,11,9,6,8,10,9,4,5,7,6,115,10,2,PF,2.27234384053084,1.3485893685577,3.62093320908855,3.88034168316492,1.85053717954771,5.73087886271263
Lamar Schmitt,208981,375,2046,208981,2046,SF PG SG ,SR,74.0,190,76.0,29.0,5,9,17,14,6,10,10,10,15,5,10,6,15,18,150,11,2,SF,1.79917593057088,1.94829656889524,3.74747249946612,3.09157077726166,2.63735302639055,5.72892380365221
Jim Knight,197409,189,2045,197409,2045,SG ,RS SR,75.5,205,82.0,38.5,6,7,17,11,10,4,16,18,17,9,12,6,10,14,157,11,2,SG,2.73392660268455,0.760429064821453,3.494355667506,4.64980014767514,1.07887086104575,5.72867100872089
Clint Hodges,200141,729,2045,200141,2045,SG sf ,RS SR,75.5,200,81.25,27.0,4,17,16,19,10,10,15,18,8,8,8,15,18,13,179,12,3,SG,2.08160574654335,1.58763076195476,3.66923650849812,3.56238128048777,2.16415948768465,5.72654076817242
Denny Peters,197998,782,2044,197998,2044,C pf ,RS JR,85.0,250,91.0,36.5,9,13,11,9,11,14,10,17,7,10,8,16,6,6,147,11,2,C,1.68318777239581,2.09355787219982,3.77674564459562,2.89821851758381,2.82793585632616,5.72615437390997
Ned Curry,204119,341,2046,204119,2046,SG pg sf pf ,RS SR,76.0,235,80.25,29.5,13,14,12,17,3,8,16,13,12,10,18,8,13,9,166,12,3,SG,2.23385301768535,1.39329993399046,3.6271529516758,3.81617748148147,1.90919744139548,5.72537492287695
